                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   713788469 |   713788482 |           0 |           0
  Cycles                             |  1842450800 |  1842450800 |  1842450800 |  1842450800
  IPC                                |        0.39 |        0.39 |        0.00 |        0.00
  Time (ns)                          |   460612700 |   460612700 |   460612700 |   460612700
  Idle time (ns)                     |       69780 |      275127 |   460612700 |   460612700
  Idle time (%)                      |        0.0% |        0.1% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |    22443474 |    22444256 |           0 |           0
  num incorrect                      |     4224472 |     4223694 |           0 |           0
  misprediction rate                 |      15.84% |      15.84% |       0.00% |       0.00%
  mpki                               |        5.92 |        5.92 |        0.00 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    74872568 |    74872571 |           0 |           0
    num misses                       |       10198 |       10428 |           0 |           0
    miss rate                        |       0.01% |       0.01% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.01 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   249859612 |   249859638 |           0 |           0
    num misses                       |      932141 |      924961 |           0 |           0
    miss rate                        |       0.37% |       0.37% |       0.00% |       0.00%
    mpki                             |        1.31 |        1.30 |        0.00 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |      942339 |      935389 |           0 |           0
    num misses                       |      146592 |      158387 |           0 |           0
    miss rate                        |      15.56% |      16.93% |       0.00% |       0.00%
    mpki                             |        0.21 |        0.22 |        0.00 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    74872568 |    74872571 |           0 |           0
    num cache misses                 |     5487570 |     5487561 |           0 |           0
    miss rate                        |       7.33% |       7.33% |        inf% |        inf%
    mpki                             |        7.69 |        7.69 |         inf |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   249859612 |   249859638 |           0 |           0
    num cache misses                 |     6038164 |     6057851 |           0 |           0
    miss rate                        |       2.42% |       2.42% |        inf% |        inf%
    mpki                             |        8.46 |        8.49 |         inf |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |    11533932 |    11553561 |           0 |           0
    num cache misses                 |     2426080 |     2407462 |           0 |           0
    miss rate                        |      21.03% |      20.84% |        inf% |        inf%
    mpki                             |        3.40 |        3.37 |         inf |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |     2461299 |     2441794 |           0 |           0
    num cache misses                 |      698120 |      696670 |           0 |           0
    miss rate                        |      28.36% |      28.53% |        inf% |        inf%
    mpki                             |        0.98 |        0.98 |         inf |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |     1881703 |           0 |           0 |           0
  average dram access latency (ns)   |      173.46 |         inf |         inf |         inf
  average dram queueing delay        |      120.03 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       3.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |      506479 |      505174 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
