                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   713788483 |   713788463 |   713788469 |           0
  Cycles                             |  1850433200 |  1850433200 |  1850433200 |  1850433200
  IPC                                |        0.39 |        0.39 |        0.39 |        0.00
  Time (ns)                          |   462608300 |   462608300 |   462608300 |   462608300
  Idle time (ns)                     |      250086 |       40964 |      234936 |   462608300
  Idle time (%)                      |        0.1% |        0.0% |        0.1% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |    22443962 |    22443881 |    22443544 |           0
  num incorrect                      |     4223983 |     4224065 |     4224402 |           0
  misprediction rate                 |      15.84% |      15.84% |      15.84% |       0.00%
  mpki                               |        5.92 |        5.92 |        5.92 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    74872571 |    74872568 |    74872568 |           0
    num misses                       |       10252 |       11318 |       10370 |           0
    miss rate                        |       0.01% |       0.02% |       0.01% |       0.00%
    mpki                             |        0.01 |        0.02 |        0.01 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   249880551 |   249885518 |   249859612 |           0
    num misses                       |      907422 |      935349 |      927772 |           0
    miss rate                        |       0.36% |       0.37% |       0.37% |       0.00%
    mpki                             |        1.27 |        1.31 |        1.30 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |      917674 |      946667 |      938142 |           0
    num misses                       |      146806 |      157068 |      150320 |           0
    miss rate                        |      16.00% |      16.59% |      16.02% |       0.00%
    mpki                             |        0.21 |        0.22 |        0.21 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    74872571 |    74872568 |    74872568 |           0
    num cache misses                 |     5488279 |     5491302 |     5490264 |           0
    miss rate                        |       7.33% |       7.33% |       7.33% |        inf%
    mpki                             |        7.69 |        7.69 |        7.69 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   249880551 |   249885518 |   249859612 |           0
    num cache misses                 |     6048306 |     6053156 |     6035296 |           0
    miss rate                        |       2.42% |       2.42% |       2.42% |        inf%
    mpki                             |        8.47 |        8.48 |        8.46 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |    11546954 |    11554966 |    11536208 |           0
    num cache misses                 |     2405646 |     2515488 |     2440288 |           0
    miss rate                        |      20.83% |      21.77% |      21.15% |        inf%
    mpki                             |        3.37 |        3.52 |        3.42 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |     2449920 |     2557669 |     2484517 |           0
    num cache misses                 |      788433 |      787998 |      788832 |           0
    miss rate                        |      32.18% |      30.81% |      31.75% |        inf%
    mpki                             |        1.10 |        1.10 |        1.11 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |     3157795 |           0 |           0 |           0
  average dram access latency (ns)   |      141.01 |         inf |         inf |         inf
  average dram queueing delay        |       87.58 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       5.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |      576763 |      576605 |      575051 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
