CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.41       1.41       1.41       1.41
depend-int             0.11       0.11       0.11       0.11
depend-branch          0.03       0.03       0.03       0.03
issue-port2            0.05       0.05       0.05       0.05
issue-port015          0.04       0.04       0.04       0.04
branch                 0.45       0.45       0.45       0.45
ifetch                 0.28       0.28       0.28       0.28
mem-l1d                0.15       0.15       0.15       0.15
mem-dram               0.06       0.06       0.06       0.05
other                  0.04       0.03       0.03       0.04

total                  2.61       2.61       2.61       2.61
