CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend                 0.00       0.12       0.00       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.50       0.14       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       0.75       0.00       0.00
mem-dram               0.44       0.52       0.00       0.00
sync-futex             0.39       0.00       0.00       0.00
imbalance-start        0.00       6.28       0.00       0.00
imbalance-end          0.00       1.46   2683016076.00   2683016076.00
other                  0.04       0.10       0.00       0.00

total                  2.02       9.61   2683016076.00   2683016076.00
