                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11662426 |  417753997 |  413732794 |  411935009
  Cycles                             |  373164000 |  373164000 |  373164000 |  373164000
  IPC                                |       0.03 |       1.12 |       1.11 |       1.10
  Time (ns)                          |   93291000 |   93291000 |   93291000 |   93291000
  Idle time (ns)                     |   91363761 |    2121198 |    2517972 |    2507799
  Idle time (%)                      |      97.9% |       2.3% |       2.7% |       2.7%
Branch predictor stats               |            |            |            |           
  num correct                        |     826907 |   38078174 |   37736695 |   37302610
  num incorrect                      |      19082 |     328301 |     297591 |     294611
  misprediction rate                 |      2.26% |      0.85% |      0.78% |      0.78%
  mpki                               |       1.64 |       0.79 |       0.72 |       0.72
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1659511 |   37517787 |   36942094 |   36966836
    num misses                       |        191 |         44 |         36 |         36
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4798161 |  155127213 |  153263137 |  152435597
    num misses                       |       4874 |    1062624 |    1058346 |    1035691
    miss rate                        |      0.10% |      0.69% |      0.69% |      0.68%
    mpki                             |       0.42 |       2.54 |       2.56 |       2.51
  L2 TLB                             |            |            |            |           
    num accesses                     |       5065 |    1062668 |    1058382 |    1035727
    num misses                       |        818 |      33390 |      27217 |      26282
    miss rate                        |     16.15% |      3.14% |      2.57% |      2.54%
    mpki                             |       0.07 |       0.08 |       0.07 |       0.06
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1659511 |   37517787 |   36942094 |   36966836
    num cache misses                 |       3451 |     125914 |      70241 |      68311
    miss rate                        |      0.21% |      0.34% |      0.19% |      0.18%
    mpki                             |       0.30 |       0.30 |       0.17 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4798161 |  155127213 |  153263137 |  152435597
    num cache misses                 |      47752 |    6357623 |    6487914 |    6467004
    miss rate                        |      1.00% |      4.10% |      4.23% |      4.24%
    mpki                             |       4.09 |      15.22 |      15.68 |      15.70
  Cache L2                           |            |            |            |           
    num cache accesses               |      58180 |    6521481 |    6774367 |    6736931
    num cache misses                 |      41594 |    3886991 |    3806105 |    3878499
    miss rate                        |     71.49% |     59.60% |     56.18% |     57.57%
    mpki                             |       3.57 |       9.30 |       9.20 |       9.42
  Cache L3                           |            |            |            |           
    num cache accesses               |      48577 |    3924974 |    4022334 |    4080121
    num cache misses                 |      22751 |        625 |         96 |        228
    miss rate                        |     46.83% |      0.02% |      0.00% |      0.01%
    mpki                             |       1.95 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      23698 |          0 |          0 |          0
  average dram access latency (ns)   |      70.59 |        inf |        inf |        inf
  average dram queueing delay        |      17.16 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      14732 |        185 |         19 |         28
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
