CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.06       0.05       0.05
depend-branch          0.00       0.01       0.01       0.00
issue-port2            0.00       0.02       0.03       0.00
issue-port015          0.00       0.02       0.02       0.03
branch                 0.00       0.12       0.09       0.07
ifetch                 0.08       0.07       0.08       0.10
mem-l1d                0.00       0.08       0.06       0.06
mem-l3                 0.00       0.02       0.03       0.00
mem-dram               0.14       0.02       0.01       0.00
sync-futex             5.91       0.00       0.36       0.56
sync-unscheduled        0.00       0.02       0.04       0.05
imbalance              0.00       0.00       0.01       0.00
imbalance-start        0.00       0.00       0.00       0.05
imbalance-end          0.00       0.07       0.00       1.27
other                  0.18       0.01       0.01       0.09

total                  6.55       0.78       1.07       2.57
