                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   99436142 |  547874909 |  548526350 |   25092792
  Cycles                             |  797004800 |  797004800 |  797004800 |  797004800
  IPC                                |       0.12 |       0.69 |       0.69 |       0.03
  Time (ns)                          |  199251200 |  199251200 |  199251200 |  199251200
  Idle time (ns)                     |  159337006 |   45164953 |   45318148 |  194519700
  Idle time (%)                      |      80.0% |      22.7% |      22.7% |      97.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    5479211 |   48263675 |   48363746 |    1567342
  num incorrect                      |     126834 |     870836 |     862582 |       7977
  misprediction rate                 |      2.26% |      1.77% |      1.75% |      0.51%
  mpki                               |       1.28 |       1.59 |       1.57 |       0.32
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11053004 |   45767984 |   45823733 |    2793033
    num misses                       |        541 |         75 |         72 |         84
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25389050 |  128446747 |  128421720 |    7844052
    num misses                       |      12217 |     539365 |     538565 |       2331
    miss rate                        |      0.05% |      0.42% |      0.42% |      0.03%
    mpki                             |       0.12 |       0.98 |       0.98 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      12758 |     539440 |     538637 |       2415
    num misses                       |       3099 |      21312 |      25380 |        950
    miss rate                        |     24.29% |      3.95% |      4.71% |     39.34%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11053004 |   45767984 |   45823733 |    2793033
    num cache misses                 |      19100 |     900808 |     904186 |       5262
    miss rate                        |      0.17% |      1.97% |      1.97% |      0.19%
    mpki                             |       0.19 |       1.64 |       1.65 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25389050 |  128446747 |  128421720 |    7844052
    num cache misses                 |     374974 |    4549481 |    4509856 |     140031
    miss rate                        |      1.48% |      3.54% |      3.51% |      1.79%
    mpki                             |       3.77 |       8.30 |       8.22 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     408494 |    5451299 |    5414949 |     145301
    num cache misses                 |     364358 |     419718 |     373817 |     124378
    miss rate                        |     89.20% |      7.70% |      6.90% |     85.60%
    mpki                             |       3.66 |       0.77 |       0.68 |       4.96
  Cache L3                           |            |            |            |           
    num cache accesses               |     379286 |     421189 |     375521 |     124386
    num cache misses                 |      58462 |      28317 |       2829 |      44439
    miss rate                        |     15.41% |      6.72% |      0.75% |     35.73%
    mpki                             |       0.59 |       0.05 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     136541 |          0 |          0 |          0
  average dram access latency (ns)   |    8357.25 |        inf |        inf |        inf
  average dram queueing delay        |    8303.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28561 |       3294 |       2417 |       6329
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
