                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   163169294 |   658704155 |   659817697 |           0
  Cycles                             |  1719717600 |  1719717600 |  1719717600 |  1719717600
  IPC                                |        0.09 |        0.38 |        0.38 |        0.00
  Time (ns)                          |   429929400 |   429929400 |   429929400 |   429929400
  Idle time (ns)                     |   372997836 |    57972448 |    57060261 |   429929400
  Idle time (%)                      |       86.8% |       13.5% |       13.3% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |    20237610 |    75510262 |    75391868 |           0
  num incorrect                      |       65711 |    13418968 |    13389839 |           0
  misprediction rate                 |       0.32% |      15.09% |      15.08% |       0.00%
  mpki                               |        0.40 |       20.37 |       20.29 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    24888045 |    97833879 |    97813476 |           0
    num misses                       |         231 |          30 |          30 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    68737684 |   188660209 |   189883913 |           0
    num misses                       |       43441 |       45694 |       42931 |           0
    miss rate                        |       0.06% |       0.02% |       0.02% |       0.00%
    mpki                             |        0.27 |        0.07 |        0.07 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |       43672 |       45724 |       42961 |           0
    num misses                       |       15514 |       27134 |       27252 |           0
    miss rate                        |      35.52% |      59.34% |      63.43% |       0.00%
    mpki                             |        0.10 |        0.04 |        0.04 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    24888045 |    97833879 |    97813476 |           0
    num cache misses                 |        6064 |        5480 |        5492 |           0
    miss rate                        |       0.02% |       0.01% |       0.01% |        inf%
    mpki                             |        0.04 |        0.01 |        0.01 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    68737684 |   188660209 |   189883913 |           0
    num cache misses                 |      290941 |      844466 |      860995 |           0
    miss rate                        |       0.42% |       0.45% |       0.45% |        inf%
    mpki                             |        1.78 |        1.28 |        1.30 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |      325664 |      850653 |      873394 |           0
    num cache misses                 |      207746 |      637097 |      634408 |           0
    miss rate                        |      63.79% |      74.90% |      72.64% |        inf%
    mpki                             |        1.27 |        0.97 |        0.96 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |      236419 |      637804 |      642308 |           0
    num cache misses                 |      132997 |       25094 |       22793 |           0
    miss rate                        |      56.25% |       3.93% |       3.55% |        inf%
    mpki                             |        0.82 |        0.04 |        0.03 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |      223660 |           0 |           0 |           0
  average dram access latency (ns)   |     3208.28 |         inf |         inf |         inf
  average dram queueing delay        |     3154.85 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       41619 |       15584 |       15401 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
