CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.48       1.54       1.12       0.00
depend-int             0.00       0.11       0.00       0.00
depend-fp              0.00       0.17       0.00       0.00
issue                  0.00       0.04       0.00       0.00
branch                 0.00       0.16       0.00       0.00
ifetch                 0.00       0.06       0.00       0.00
mem-l1d                0.00       0.08       0.00       0.00
mem-l2                 0.00       0.02       0.00       0.00
sync-futex            24.64       0.11       0.00       0.00
imbalance-end          0.00       0.00      99.32   2533221418.00
other                  0.37       0.02       0.51    8000.00

total                 25.48       2.31     100.95   2533229418.00
