                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    99436117 |   548298935 |   548102327 |    25092792
  Cycles                             |  1348908400 |  1348908400 |  1348908400 |  1348908400
  IPC                                |        0.07 |        0.41 |        0.41 |        0.02
  Time (ns)                          |   337227100 |   337227100 |   337227100 |   337227100
  Idle time (ns)                     |   316250272 |    32138962 |    30830228 |   328121914
  Idle time (%)                      |       93.8% |        9.5% |        9.1% |       97.3%
Branch predictor stats               |             |             |             |            
  num correct                        |     5479573 |    48318853 |    48291906 |     1567402
  num incorrect                      |      126474 |      871751 |      878296 |        7917
  misprediction rate                 |       2.26% |       1.77% |       1.79% |       0.50%
  mpki                               |        1.27 |        1.59 |        1.60 |        0.32
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    11053010 |    45800996 |    45790718 |     2793033
    num misses                       |         563 |          75 |          77 |          86
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    25388941 |   128360442 |   128508027 |     7844052
    num misses                       |       11027 |      547404 |      542384 |        2326
    miss rate                        |       0.04% |       0.43% |       0.42% |       0.03%
    mpki                             |        0.11 |        1.00 |        0.99 |        0.09
  L2 TLB                             |             |             |             |            
    num accesses                     |       11590 |      547479 |      542461 |        2412
    num misses                       |        3040 |       28765 |       25025 |         957
    miss rate                        |      26.23% |       5.25% |       4.61% |      39.68%
    mpki                             |        0.03 |        0.05 |        0.05 |        0.04
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    11053010 |    45800996 |    45790718 |     2793033
    num cache misses                 |       19096 |      929921 |      932202 |        4834
    miss rate                        |       0.17% |       2.03% |       2.04% |       0.17%
    mpki                             |        0.19 |        1.70 |        1.70 |        0.19
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    25388941 |   128360442 |   128508027 |     7844052
    num cache misses                 |      375095 |     4508702 |     4544825 |      140036
    miss rate                        |       1.48% |       3.51% |       3.54% |       1.79%
    mpki                             |        3.77 |        8.22 |        8.29 |        5.58
  Cache L2                           |             |             |             |            
    num cache accesses               |      408621 |     5439850 |     5478515 |      144882
    num cache misses                 |      364245 |      350394 |      447995 |      124389
    miss rate                        |      89.14% |       6.44% |       8.18% |      85.86%
    mpki                             |        3.66 |        0.64 |        0.82 |        4.96
  Cache L3                           |             |             |             |            
    num cache accesses               |      379286 |      352311 |      450087 |      124401
    num cache misses                 |       58467 |        2860 |       28274 |       44439
    miss rate                        |      15.42% |       0.81% |       6.28% |      35.72%
    mpki                             |        0.59 |        0.01 |        0.05 |        1.77
DRAM summary                         |             |             |             |            
  num dram accesses                  |      137011 |           0 |           0 |           0
  average dram access latency (ns)   |     9094.79 |         inf |         inf |         inf
  average dram queueing delay        |     9041.36 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       28597 |        2405 |        3303 |        6341
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
