                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1326837708 |   279198682 |           0 |           0
  Cycles                             |  4940106400 |  4940106400 |  4940106400 |  4940106400
  IPC                                |        0.27 |        0.06 |        0.00 |        0.00
  Time (ns)                          |  1235026600 |  1235026600 |  1235026600 |  1235026600
  Idle time (ns)                     |   347449614 |   887600635 |  1235026600 |  1235026600
  Idle time (%)                      |       28.1% |       71.9% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |   205205842 |    15635868 |           0 |           0
  num incorrect                      |    20264849 |     1166321 |           0 |           0
  misprediction rate                 |       8.99% |       6.94% |       0.00% |       0.00%
  mpki                               |       15.27 |        4.18 |        0.00 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   237911211 |    27983253 |           0 |           0
    num misses                       |         231 |          52 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   489802331 |    92259260 |           0 |           0
    num misses                       |    11863257 |     5992673 |           0 |           0
    miss rate                        |       2.42% |       6.50% |       0.00% |       0.00%
    mpki                             |        8.94 |       21.46 |        0.00 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |    11863488 |     5992725 |           0 |           0
    num misses                       |     5832915 |     3147052 |           0 |           0
    miss rate                        |      49.17% |      52.51% |       0.00% |       0.00%
    mpki                             |        4.40 |       11.27 |        0.00 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   237911211 |    27983253 |           0 |           0
    num cache misses                 |      497055 |       88492 |           0 |           0
    miss rate                        |       0.21% |       0.32% |        inf% |        inf%
    mpki                             |        0.37 |        0.32 |         inf |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   489802331 |    92259260 |           0 |           0
    num cache misses                 |    15633066 |     5728426 |           0 |           0
    miss rate                        |       3.19% |       6.21% |        inf% |        inf%
    mpki                             |       11.78 |       20.52 |         inf |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |    17407316 |     5817015 |           0 |           0
    num cache misses                 |    12888648 |     5269149 |           0 |           0
    miss rate                        |      74.04% |      90.58% |        inf% |        inf%
    mpki                             |        9.71 |       18.87 |         inf |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |    14167090 |     5269246 |           0 |           0
    num cache misses                 |     4470933 |     1519298 |           0 |           0
    miss rate                        |      31.56% |      28.83% |        inf% |        inf%
    mpki                             |        3.37 |        5.44 |         inf |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9357342 |           0 |           0 |           0
  average dram access latency (ns)   |    10322.09 |         inf |         inf |         inf
  average dram queueing delay        |    10268.66 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       6.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3646119 |     1355858 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
