                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   656927248 |   658152270 |    56141896 |    56355369
  Cycles                             |  1085516000 |  1085516000 |  1085516000 |  1085516000
  IPC                                |        0.61 |        0.61 |        0.05 |        0.05
  Time (ns)                          |   271379000 |   271379000 |   271379000 |   271379000
  Idle time (ns)                     |    37817911 |    37328086 |   234454654 |   234454454
  Idle time (%)                      |       13.9% |       13.8% |       86.4% |       86.4%
Branch predictor stats               |             |             |             |            
  num correct                        |    20601536 |    20636828 |     1815421 |     1826429
  num incorrect                      |     3911868 |     3914772 |      312945 |      316093
  misprediction rate                 |      15.96% |      15.95% |      14.70% |      14.75%
  mpki                               |        5.95 |        5.95 |        5.57 |        5.61
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    68776176 |    68905708 |     6020620 |     6042784
    num misses                       |        9757 |       10232 |         907 |         847
    miss rate                        |       0.01% |       0.01% |       0.02% |       0.01%
    mpki                             |        0.01 |        0.02 |        0.02 |        0.02
  D-TLB                              |             |             |             |            
    num accesses                     |   230834504 |   231382509 |    18830441 |    18723590
    num misses                       |      842599 |      851352 |       81559 |       79728
    miss rate                        |       0.37% |       0.37% |       0.43% |       0.43%
    mpki                             |        1.28 |        1.29 |        1.45 |        1.41
  L2 TLB                             |             |             |             |            
    num accesses                     |      852356 |      861584 |       82466 |       80575
    num misses                       |      146769 |      152475 |        6656 |        6806
    miss rate                        |      17.22% |      17.70% |       8.07% |       8.45%
    mpki                             |        0.22 |        0.23 |        0.12 |        0.12
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    68776176 |    68905708 |     6020620 |     6042784
    num cache misses                 |     4965434 |     4978456 |      517252 |      516823
    miss rate                        |       7.22% |       7.23% |       8.59% |       8.55%
    mpki                             |        7.56 |        7.56 |        9.21 |        9.17
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   230834504 |   231382509 |    18830441 |    18723590
    num cache misses                 |     5552629 |     5582767 |      500307 |      489268
    miss rate                        |       2.41% |       2.41% |       2.66% |       2.61%
    mpki                             |        8.45 |        8.48 |        8.91 |        8.68
  Cache L2                           |             |             |             |            
    num cache accesses               |    10526631 |    10569928 |     1019023 |     1007527
    num cache misses                 |     2267997 |     2311052 |      188472 |      187197
    miss rate                        |      21.55% |      21.86% |      18.50% |      18.58%
    mpki                             |        3.45 |        3.51 |        3.36 |        3.32
  Cache L3                           |             |             |             |            
    num cache accesses               |     2301552 |     2342940 |      193297 |      191835
    num cache misses                 |      599717 |      611660 |       95331 |       88981
    miss rate                        |      26.06% |      26.11% |      49.32% |      46.38%
    mpki                             |        0.91 |        0.93 |        1.70 |        1.58
DRAM summary                         |             |             |             |            
  num dram accesses                  |     1886115 |           0 |           0 |           0
  average dram access latency (ns)   |      215.41 |         inf |         inf |         inf
  average dram queueing delay        |      161.99 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       5.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |      443525 |      454383 |       60249 |       54145
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
