                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   608614018 |   592242967 |           0 |           0
  Cycles                             |  1814249200 |  1814249200 |  1814249200 |  1814249200
  IPC                                |        0.34 |        0.33 |        0.00 |        0.00
  Time (ns)                          |   453562300 |   453562300 |   453562300 |   453562300
  Idle time (ns)                     |   223679371 |   229893262 |   453562300 |   453562300
  Idle time (%)                      |       49.3% |       50.7% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |    51906735 |    50506203 |           0 |           0
  num incorrect                      |      404539 |      378921 |           0 |           0
  misprediction rate                 |       0.77% |       0.74% |       0.00% |       0.00%
  mpki                               |        0.66 |        0.64 |        0.00 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    56931597 |    55293981 |           0 |           0
    num misses                       |         202 |          65 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   223884595 |   217773192 |           0 |           0
    num misses                       |     1554367 |     1523532 |           0 |           0
    miss rate                        |       0.69% |       0.70% |       0.00% |       0.00%
    mpki                             |        2.55 |        2.57 |        0.00 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |     1554569 |     1523597 |           0 |           0
    num misses                       |       32161 |       31075 |           0 |           0
    miss rate                        |       2.07% |       2.04% |       0.00% |       0.00%
    mpki                             |        0.05 |        0.05 |        0.00 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    56931597 |    55293981 |           0 |           0
    num cache misses                 |      100796 |       97158 |           0 |           0
    miss rate                        |       0.18% |       0.18% |        inf% |        inf%
    mpki                             |        0.17 |        0.16 |         inf |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   223884595 |   217773192 |           0 |           0
    num cache misses                 |     9480535 |     9269567 |           0 |           0
    miss rate                        |       4.23% |       4.26% |        inf% |        inf%
    mpki                             |       15.58 |       15.65 |         inf |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |     9587227 |     9368692 |           0 |           0
    num cache misses                 |     8352745 |     8160950 |           0 |           0
    miss rate                        |      87.12% |      87.11% |        inf% |        inf%
    mpki                             |       13.72 |       13.78 |         inf |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |     8358646 |     8162917 |           0 |           0
    num cache misses                 |       19582 |        3953 |           0 |           0
    miss rate                        |       0.23% |       0.05% |        inf% |        inf%
    mpki                             |        0.03 |        0.01 |         inf |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |       23533 |           0 |           0 |           0
  average dram access latency (ns)   |       66.58 |         inf |         inf |         inf
  average dram queueing delay        |       13.15 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       13160 |        1620 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
