                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   458456452 |   456554330 |           0 |           0
  Cycles                             |  1126180400 |  1126180400 |  1126180400 |  1126180400
  IPC                                |        0.41 |        0.41 |        0.00 |        0.00
  Time (ns)                          |   281545100 |   281545100 |   281545100 |   281545100
  Idle time (ns)                     |   140399686 |   141154852 |   281545100 |   281545100
  Idle time (%)                      |       49.9% |       50.1% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |    43812600 |    43501990 |           0 |           0
  num incorrect                      |     1345497 |     1344270 |           0 |           0
  misprediction rate                 |       2.98% |       3.00% |       0.00% |       0.00%
  mpki                               |        2.93 |        2.94 |        0.00 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    60513891 |    60382019 |           0 |           0
    num misses                       |         188 |          42 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   161694009 |   161087446 |           0 |           0
    num misses                       |        1807 |         216 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |        1995 |         258 |           0 |           0
    num misses                       |         580 |         200 |           0 |           0
    miss rate                        |      29.07% |      77.52% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    60513891 |    60382019 |           0 |           0
    num cache misses                 |        3250 |         831 |           0 |           0
    miss rate                        |       0.01% |       0.00% |        inf% |        inf%
    mpki                             |        0.01 |        0.00 |         inf |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   161694009 |   161087446 |           0 |           0
    num cache misses                 |     1795973 |     1780440 |           0 |           0
    miss rate                        |       1.11% |       1.11% |        inf% |        inf%
    mpki                             |        3.92 |        3.90 |         inf |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |     1803720 |     1786870 |           0 |           0
    num cache misses                 |       45485 |       31173 |           0 |           0
    miss rate                        |       2.52% |       1.74% |        inf% |        inf%
    mpki                             |        0.10 |        0.07 |         inf |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |       51270 |       38111 |           0 |           0
    num cache misses                 |       14237 |        3682 |           0 |           0
    miss rate                        |      27.77% |       9.66% |        inf% |        inf%
    mpki                             |        0.03 |        0.01 |         inf |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |       17917 |           0 |           0 |           0
  average dram access latency (ns)   |       97.16 |         inf |         inf |         inf
  average dram queueing delay        |       43.74 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |        8536 |         950 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
