CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.68       0.69       0.00       0.00
depend-fp              0.32       0.32       0.00       0.00
issue-port2            0.06       0.06       0.00       0.00
branch                 0.09       0.09       0.00       0.00
mem-l3                 0.29       0.30       0.00       0.00
sync-unscheduled        1.45       1.57       0.00       0.00
imbalance-end          0.00       0.00   1814248470.00   1814248470.00
other                  0.06       0.05    8000.00    8000.00

total                  2.96       3.09   1814256470.00   1814256470.00
