                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1326839861 |    93110058 |    93083410 |    93072714
  Cycles                             |  3852446400 |  3852446400 |  3852446400 |  3852446400
  IPC                                |        0.34 |        0.02 |        0.02 |        0.02
  Time (ns)                          |   963111600 |   963111600 |   963111600 |   963111600
  Idle time (ns)                     |    78691708 |   885000990 |   885280213 |   885342678
  Idle time (%)                      |        8.2% |       91.9% |       91.9% |       91.9%
Branch predictor stats               |             |             |             |            
  num correct                        |   205478610 |     5207089 |     5209032 |     5209135
  num incorrect                      |    19992403 |      393304 |      393638 |      389211
  misprediction rate                 |       8.87% |       7.02% |       7.03% |       6.95%
  mpki                               |       15.07 |        4.22 |        4.23 |        4.18
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   237911504 |     9330163 |     9327756 |     9327228
    num misses                       |         232 |          53 |          54 |          53
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   489803267 |    30766477 |    30758605 |    30757018
    num misses                       |    12816272 |     1999454 |     1982195 |     2023438
    miss rate                        |       2.62% |       6.50% |       6.44% |       6.58%
    mpki                             |        9.66 |       21.47 |       21.29 |       21.74
  L2 TLB                             |             |             |             |            
    num accesses                     |    12816504 |     1999507 |     1982249 |     2023491
    num misses                       |     5898033 |     1052398 |     1052877 |     1052058
    miss rate                        |      46.02% |      52.63% |      53.12% |      51.99%
    mpki                             |        4.45 |       11.30 |       11.31 |       11.30
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   237911504 |     9330163 |     9327756 |     9327228
    num cache misses                 |      491722 |       29102 |       29439 |       29133
    miss rate                        |       0.21% |       0.31% |       0.32% |       0.31%
    mpki                             |        0.37 |        0.31 |        0.32 |        0.31
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   489803267 |    30766477 |    30758605 |    30757018
    num cache misses                 |    15631988 |     1911876 |     1911067 |     1910875
    miss rate                        |       3.19% |       6.21% |       6.21% |       6.21%
    mpki                             |       11.78 |       20.53 |       20.53 |       20.53
  Cache L2                           |             |             |             |            
    num cache accesses               |    17401106 |     1941264 |     1940802 |     1940311
    num cache misses                 |    12900652 |     1755383 |     1755747 |     1754757
    miss rate                        |      74.14% |      90.42% |      90.47% |      90.44%
    mpki                             |        9.72 |       18.85 |       18.86 |       18.85
  Cache L3                           |             |             |             |            
    num cache accesses               |    14179292 |     1755669 |     1756043 |     1755060
    num cache misses                 |     4471570 |      508033 |      508189 |      506822
    miss rate                        |      31.54% |      28.94% |      28.94% |      28.88%
    mpki                             |        3.37 |        5.46 |        5.46 |        5.45
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9364645 |           0 |           0 |           0
  average dram access latency (ns)   |     3872.93 |         inf |         inf |         inf
  average dram queueing delay        |     3819.50 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       8.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3646692 |      453110 |      453158 |      452062
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
