                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1281979739 |   224773027 |   146270161 |  1545481472
  Cycles                             |  5156210400 |  5156210400 |  5156210400 |  5156210400
  IPC                                |        0.25 |        0.04 |        0.03 |        0.30
  Time (ns)                          |  1289052600 |  1289052600 |  1289052600 |  1289052600
  Idle time (ns)                     |   629541834 |  1233811690 |  1232778532 |   661607850
  Idle time (%)                      |       48.8% |       95.7% |       95.6% |       51.3%
Branch predictor stats               |             |             |             |            
  num correct                        |     1139197 |     1061276 |    13448704 |   152276793
  num incorrect                      |       21169 |       57416 |       47383 |    15221025
  misprediction rate                 |       1.82% |       5.13% |       0.35% |       9.09%
  mpki                               |        0.02 |        0.26 |        0.32 |        9.85
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |     1364106 |    11749753 |    10812017 |   171719639
    num misses                       |         111 |          40 |          34 |          50
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |  1287658998 |    81691782 |    62026960 |   871882691
    num misses                       |      334011 |       18815 |        7591 |       93759
    miss rate                        |       0.03% |       0.02% |       0.01% |       0.01%
    mpki                             |        0.26 |        0.08 |        0.05 |        0.06
  L2 TLB                             |             |             |             |            
    num accesses                     |      334122 |       18855 |        7625 |       93809
    num misses                       |      329268 |        9793 |        2842 |       14326
    miss rate                        |      98.55% |      51.94% |      37.27% |      15.27%
    mpki                             |        0.26 |        0.04 |        0.02 |        0.01
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |     1364106 |    11749753 |    10812017 |   171719639
    num cache misses                 |        5534 |       24215 |        7335 |      273760
    miss rate                        |       0.41% |       0.21% |       0.07% |       0.16%
    mpki                             |        0.00 |        0.11 |        0.05 |        0.18
  Cache L1-D                         |             |             |             |            
    num cache accesses               |  1287658998 |    81691782 |    62026960 |   871882691
    num cache misses                 |    20493233 |      391545 |      370785 |    13055612
    miss rate                        |       1.59% |       0.48% |       0.60% |       1.50%
    mpki                             |       15.99 |        1.74 |        2.53 |        8.45
  Cache L2                           |             |             |             |            
    num cache accesses               |    20505061 |      419999 |      384238 |    13339881
    num cache misses                 |    20489969 |      388614 |      309868 |      932742
    miss rate                        |      99.93% |      92.53% |      80.64% |       6.99%
    mpki                             |       15.98 |        1.73 |        2.12 |        0.60
  Cache L3                           |             |             |             |            
    num cache accesses               |    20496266 |      392998 |      357415 |      945592
    num cache misses                 |    20433301 |      172455 |      172100 |      349868
    miss rate                        |      99.69% |      43.88% |      48.15% |      37.00%
    mpki                             |       15.94 |        0.77 |        1.18 |        0.23
DRAM summary                         |             |             |             |            
  num dram accesses                  |    41556649 |           0 |           0 |           0
  average dram access latency (ns)   |      111.50 |         inf |         inf |         inf
  average dram queueing delay        |       58.08 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      27.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |      347398 |        7273 |      165617 |      174875
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
