                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11662216 |  408754868 |  424141198 |  418963052
  Cycles                             |  707870400 |  707870400 |  707870400 |  707870400
  IPC                                |       0.02 |       0.58 |       0.60 |       0.59
  Time (ns)                          |  176967600 |  176967600 |  176967600 |  176967600
  Idle time (ns)                     |  173737498 |    3410366 |    3967876 |    3974179
  Idle time (%)                      |      98.2% |       1.9% |       2.2% |       2.2%
Branch predictor stats               |            |            |            |           
  num correct                        |     826887 |   36083011 |   40043887 |   38854884
  num incorrect                      |      19045 |     325693 |     299799 |     300533
  misprediction rate                 |      2.25% |      0.89% |      0.74% |      0.77%
  mpki                               |       1.63 |       0.80 |       0.71 |       0.72
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1659502 |   37503856 |   36954864 |   36981981
    num misses                       |        184 |         44 |         36 |         36
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4798102 |  151130108 |  157888094 |  155557703
    num misses                       |       5103 |    1034127 |    1049921 |    1021254
    miss rate                        |      0.11% |      0.68% |      0.66% |      0.66%
    mpki                             |       0.44 |       2.53 |       2.48 |       2.44
  L2 TLB                             |            |            |            |           
    num accesses                     |       5287 |    1034171 |    1049957 |    1021290
    num misses                       |        822 |      30797 |      26521 |      24924
    miss rate                        |     15.55% |      2.98% |      2.53% |      2.44%
    mpki                             |       0.07 |       0.08 |       0.06 |       0.06
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1659502 |   37503856 |   36954864 |   36981981
    num cache misses                 |       3456 |     115817 |      68370 |      68358
    miss rate                        |      0.21% |      0.31% |      0.19% |      0.18%
    mpki                             |       0.30 |       0.28 |       0.16 |       0.16
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4798102 |  151130108 |  157888094 |  155557703
    num cache misses                 |      47793 |    6362863 |    6561811 |    6551284
    miss rate                        |      1.00% |      4.21% |      4.16% |      4.21%
    mpki                             |       4.10 |      15.57 |      15.47 |      15.64
  Cache L2                           |            |            |            |           
    num cache accesses               |      58230 |    6518873 |    6922324 |    6893349
    num cache misses                 |      41621 |    3935071 |    3923423 |    3879439
    miss rate                        |     71.48% |     60.36% |     56.68% |     56.28%
    mpki                             |       3.57 |       9.63 |       9.25 |       9.26
  Cache L3                           |            |            |            |           
    num cache accesses               |      48607 |    3975271 |    4215575 |    4153158
    num cache misses                 |      22739 |        645 |        104 |        207
    miss rate                        |     46.78% |      0.02% |      0.00% |      0.00%
    mpki                             |       1.95 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      23686 |          0 |          0 |          0
  average dram access latency (ns)   |      66.37 |        inf |        inf |        inf
  average dram queueing delay        |      12.94 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      14733 |        175 |         23 |         30
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
