                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36615008 |  309124794 |  223794267 |   93211201
  Cycles                             |  504588000 |  504588000 |  504588000 |  504588000
  IPC                                |       0.07 |       0.61 |       0.44 |       0.18
  Time (ns)                          |  126147000 |  126147000 |  126147000 |  126147000
  Idle time (ns)                     |  115710354 |   16687143 |   51644407 |   94895910
  Idle time (%)                      |      91.7% |      13.2% |      40.9% |      75.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    1504875 |    9535527 |    6585182 |    2804293
  num incorrect                      |      58962 |    1980474 |    1118215 |     388115
  misprediction rate                 |      3.77% |     17.20% |     14.52% |     12.16%
  mpki                               |       1.61 |       6.41 |       5.00 |       4.16
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3550676 |   32569899 |   22932708 |    9789989
    num misses                       |        282 |       4367 |       5290 |       1319
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |   13471222 |  109021772 |   79987229 |   31004094
    num misses                       |      10600 |     350984 |     376228 |     209323
    miss rate                        |      0.08% |      0.32% |      0.47% |      0.68%
    mpki                             |       0.29 |       1.14 |       1.68 |       2.25
  L2 TLB                             |            |            |            |           
    num accesses                     |      10882 |     355351 |     381518 |     210642
    num misses                       |       3676 |      82070 |      61914 |      16147
    miss rate                        |     33.78% |     23.10% |     16.23% |      7.67%
    mpki                             |       0.10 |       0.27 |       0.28 |       0.17
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3550676 |   32569899 |   22932708 |    9789989
    num cache misses                 |     141890 |    2109776 |    1954770 |     948877
    miss rate                        |      4.00% |      6.48% |      8.52% |      9.69%
    mpki                             |       3.88 |       6.82 |       8.73 |      10.18
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13471222 |  109021772 |   79987229 |   31004094
    num cache misses                 |     266830 |    2336109 |    2412023 |    1153282
    miss rate                        |      1.98% |      2.14% |      3.02% |      3.72%
    mpki                             |       7.29 |       7.56 |      10.78 |      12.37
  Cache L2                           |            |            |            |           
    num cache accesses               |     409032 |    4449848 |    4368860 |    2102999
    num cache misses                 |     246925 |    1102550 |     953855 |     317405
    miss rate                        |     60.37% |     24.78% |     21.83% |     15.09%
    mpki                             |       6.74 |       3.57 |       4.26 |       3.41
  Cache L3                           |            |            |            |           
    num cache accesses               |     247306 |    1116391 |     968870 |     327645
    num cache misses                 |     143153 |     154794 |      91810 |      56223
    miss rate                        |     57.88% |     13.87% |      9.48% |     17.16%
    mpki                             |       3.91 |       0.50 |       0.41 |       0.60
DRAM summary                         |            |            |            |           
  num dram accesses                  |     681246 |          0 |          0 |          0
  average dram access latency (ns)   |    2292.86 |        inf |        inf |        inf
  average dram queueing delay        |    2239.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      62479 |     100927 |      37641 |      22080
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
