CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.12       0.47       0.74       0.67
depend-int             0.00       0.00       0.00       0.05
depend-branch          0.00       0.00       0.00       0.05
issue-port2            0.00       0.00       0.00       0.07
branch                 0.00       0.00       0.00       0.46
mem                    0.00       0.00       0.46       0.00
mem-l1d                0.87       0.00       0.00       0.22
mem-dram               0.05       0.00       0.00       0.00
sync-futex             1.90       0.00       0.00       0.00
sync-unscheduled        0.00      11.64      17.88       1.69
imbalance-end          0.00       9.87      15.17       0.00
other                  0.01       0.54       0.34       0.07

total                  3.95      22.51      34.59       3.27
