                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |     6230595 |   564245084 |   309656598 |   320724533
  Cycles                             |  1809416800 |  1809416800 |  1809416800 |  1809416800
  IPC                                |        0.00 |        0.31 |        0.17 |        0.18
  Time (ns)                          |   452354200 |   452354200 |   452354200 |   452354200
  Idle time (ns)                     |   450788782 |   238573128 |   336356240 |   331354223
  Idle time (%)                      |       99.7% |       52.7% |       74.4% |       73.3%
Branch predictor stats               |             |             |             |            
  num correct                        |      596175 |    48087464 |    26398786 |    27329386
  num incorrect                      |       19345 |      369738 |      193452 |      202062
  misprediction rate                 |       3.14% |       0.76% |       0.73% |       0.73%
  mpki                               |        3.10 |        0.66 |        0.62 |        0.63
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |      769320 |    52439234 |    29248581 |    29768439
    num misses                       |         184 |          42 |          18 |          21
    miss rate                        |       0.02% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.03 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |     2325209 |   207423498 |   114029086 |   117879986
    num misses                       |        4885 |     1467968 |      794324 |      837606
    miss rate                        |       0.21% |       0.71% |       0.70% |       0.71%
    mpki                             |        0.78 |        2.60 |        2.57 |        2.61
  L2 TLB                             |             |             |             |            
    num accesses                     |        5069 |     1468010 |      794342 |      837627
    num misses                       |         784 |       29860 |       16146 |       16965
    miss rate                        |      15.47% |       2.03% |       2.03% |       2.03%
    mpki                             |        0.13 |        0.05 |        0.05 |        0.05
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |      769320 |    52439234 |    29248581 |    29768439
    num cache misses                 |        3467 |       92200 |       50464 |       51779
    miss rate                        |       0.45% |       0.18% |       0.17% |       0.17%
    mpki                             |        0.56 |        0.16 |        0.16 |        0.16
  Cache L1-D                         |             |             |             |            
    num cache accesses               |     2325209 |   207423498 |   114029086 |   117879986
    num cache misses                 |       41834 |     8871526 |     4783045 |     5056342
    miss rate                        |       1.80% |       4.28% |       4.19% |       4.29%
    mpki                             |        6.71 |       15.72 |       15.45 |       15.77
  Cache L2                           |             |             |             |            
    num cache accesses               |       49374 |     8964176 |     4836427 |     5108153
    num cache misses                 |       35853 |     7811013 |     4225055 |     4451616
    miss rate                        |      72.62% |      87.14% |      87.36% |      87.15%
    mpki                             |        5.75 |       13.84 |       13.64 |       13.88
  Cache L3                           |             |             |             |            
    num cache accesses               |       39931 |     7811465 |     4227973 |     4451648
    num cache misses                 |       16896 |         811 |        5819 |          10
    miss rate                        |      42.31% |       0.01% |       0.14% |       0.00%
    mpki                             |        2.71 |        0.00 |        0.02 |        0.00
DRAM summary                         |             |             |             |            
  num dram accesses                  |       23534 |           0 |           0 |           0
  average dram access latency (ns)   |       66.81 |         inf |         inf |         inf
  average dram queueing delay        |       13.38 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       11809 |          57 |        2909 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
