CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.69       0.68       0.68
depend-int             0.00       0.02       0.02       0.02
depend-fp              0.00       0.32       0.30       0.30
issue-port2            0.00       0.04       0.04       0.04
branch                 0.00       0.09       0.09       0.09
mem-l1d                0.00       0.03       0.04       0.04
mem-l3                 0.00       0.46       0.43       0.45
sync-futex            59.04       0.00       0.00       0.00
sync-unscheduled        0.00       0.02       0.02       0.02
other                  0.90       0.03       0.04       0.04

total                 59.94       1.71       1.66       1.68
