                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |     2360811 |   457155059 |   227531179 |   227963507
  Cycles                             |  1124000000 |  1124000000 |  1124000000 |  1124000000
  IPC                                |        0.00 |        0.41 |        0.20 |        0.20
  Time (ns)                          |   281000000 |   281000000 |   281000000 |   281000000
  Idle time (ns)                     |   280158669 |   140803478 |   211047320 |   211000110
  Idle time (%)                      |       99.7% |       50.1% |       75.1% |       75.1%
Branch predictor stats               |             |             |             |            
  num correct                        |      326609 |    43574358 |    21667006 |    21737861
  num incorrect                      |       15588 |     1343858 |      669006 |      670071
  misprediction rate                 |       4.56% |       2.99% |       3.00% |       2.99%
  mpki                               |        6.60 |        2.94 |        2.94 |        2.94
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |      200704 |    60456664 |    30096947 |    30141600
    num misses                       |         180 |          38 |          37 |          24
    miss rate                        |       0.09% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.08 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |      798857 |   161282714 |    80282868 |    80417028
    num misses                       |        1476 |      455161 |      264576 |      253014
    miss rate                        |       0.18% |       0.28% |       0.33% |       0.31%
    mpki                             |        0.63 |        1.00 |        1.16 |        1.11
  L2 TLB                             |             |             |             |            
    num accesses                     |        1656 |      455199 |      264613 |      253038
    num misses                       |         458 |         194 |         183 |         138
    miss rate                        |      27.66% |       0.04% |       0.07% |       0.05%
    mpki                             |        0.19 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |      200704 |    60456664 |    30096947 |    30141600
    num cache misses                 |        2411 |         776 |         468 |         419
    miss rate                        |       1.20% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.02 |        0.00 |        0.00 |        0.00
  Cache L1-D                         |             |             |             |            
    num cache accesses               |      798857 |   161282714 |    80282868 |    80417028
    num cache misses                 |       17142 |     1781637 |      889267 |      889952
    miss rate                        |       2.15% |       1.10% |       1.11% |       1.11%
    mpki                             |        7.26 |        3.90 |        3.91 |        3.90
  Cache L2                           |             |             |             |            
    num cache accesses               |       19996 |     1790128 |      889912 |      890609
    num cache misses                 |       13179 |       28077 |       18732 |       18869
    miss rate                        |      65.91% |       1.57% |       2.10% |       2.12%
    mpki                             |        5.58 |        0.06 |        0.08 |        0.08
  Cache L3                           |             |             |             |            
    num cache accesses               |       13628 |       37822 |       18916 |       19117
    num cache misses                 |       11633 |        3896 |        1031 |        1357
    miss rate                        |      85.36% |      10.30% |       5.45% |       7.10%
    mpki                             |        4.93 |        0.01 |        0.00 |        0.01
DRAM summary                         |             |             |             |            
  num dram accesses                  |       17915 |           0 |           0 |           0
  average dram access latency (ns)   |      100.71 |         inf |         inf |         inf
  average dram queueing delay        |       47.28 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |        8100 |         959 |         192 |         257
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
