CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.67       0.67       0.67
depend-int             0.00       0.06       0.06       0.06
depend-fp              0.00       0.21       0.21       0.21
depend-branch          0.00       0.02       0.02       0.02
issue-port2            0.00       0.02       0.02       0.02
issue-port015          0.00       0.00       0.00       0.01
branch                 0.00       0.14       0.14       0.14
mem-l1d                0.00       0.08       0.08       0.08
sync-futex           178.31       0.00       0.00       0.00
imbalance-end          0.00       0.25       0.25       0.00
other                  1.43       0.04       0.04       0.02

total                179.74       1.49       1.49       1.24
