                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2371125 |  285306566 |  285311751 |  342337922
  Cycles                             |  426186400 |  426186400 |  426186400 |  426186400
  IPC                                |       0.01 |       0.67 |       0.67 |       0.80
  Time (ns)                          |  106546600 |  106546600 |  106546600 |  106546600
  Idle time (ns)                     |  105702674 |   18431133 |   18465151 |     845818
  Idle time (%)                      |      99.2% |      17.3% |      17.3% |       0.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     327544 |   27199356 |   27201517 |   32635210
  num incorrect                      |      16064 |     841254 |     839815 |    1007369
  misprediction rate                 |      4.68% |      3.00% |      2.99% |      2.99%
  mpki                               |       6.77 |       2.95 |       2.94 |       2.94
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     201974 |   37734519 |   37735177 |   45276416
    num misses                       |        178 |         42 |         42 |         42
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     801300 |  100662089 |  100664134 |  120786043
    num misses                       |       1586 |        115 |        165 |        119
    miss rate                        |      0.20% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.67 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       1764 |        157 |        207 |        161
    num misses                       |        462 |        136 |        141 |        141
    miss rate                        |     26.19% |     86.62% |     68.12% |     87.58%
    mpki                             |       0.19 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     201974 |   37734519 |   37735177 |   45276416
    num cache misses                 |       2457 |      35364 |      35379 |      41997
    miss rate                        |      1.22% |      0.09% |      0.09% |      0.09%
    mpki                             |       1.04 |       0.12 |       0.12 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     801300 |  100662089 |  100664134 |  120786043
    num cache misses                 |      17178 |    1117605 |    1119217 |    1339698
    miss rate                        |      2.14% |      1.11% |      1.11% |      1.11%
    mpki                             |       7.24 |       3.92 |       3.92 |       3.91
  Cache L2                           |            |            |            |           
    num cache accesses               |      20076 |    1153273 |    1154897 |    1382054
    num cache misses                 |      13256 |       2932 |       2986 |       3309
    miss rate                        |     66.03% |      0.25% |      0.26% |      0.24%
    mpki                             |       5.59 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      13702 |       3249 |       3300 |       3684
    num cache misses                 |      11704 |       2050 |       2291 |       2682
    miss rate                        |     85.42% |     63.10% |     69.42% |     72.80%
    mpki                             |       4.94 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18396 |          0 |          0 |          0
  average dram access latency (ns)   |     236.54 |        inf |        inf |        inf
  average dram queueing delay        |     183.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8115 |        457 |        574 |        713
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
