CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.00
depend-int             0.03       0.05       0.05       0.00
depend-fp              0.00       0.24       0.23       0.00
depend-branch          0.03       0.01       0.01       0.00
branch                 0.23       0.08       0.08       0.00
mem-l1d                0.06       0.03       0.03       0.00
sync-futex             1.82       0.00       0.00       0.00
imbalance-start        0.00       0.19       0.19       0.00
imbalance-end          0.00       0.05       0.05   122843163.00
other                  0.04       0.01       0.01       0.00

total                  2.46       0.90       0.90   122843163.00
