                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   99436378 |  547943786 |  548458826 |   25092830
  Cycles                             |  372924800 |  372924800 |  372924800 |  372924800
  IPC                                |       0.27 |       1.47 |       1.47 |       0.07
  Time (ns)                          |   93231200 |   93231200 |   93231200 |   93231200
  Idle time (ns)                     |   80972749 |   15433132 |   15584392 |   90366556
  Idle time (%)                      |      86.9% |      16.6% |      16.7% |      96.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    5479393 |   48253434 |   48383676 |    1567373
  num incorrect                      |     126712 |     861652 |     862197 |       7949
  misprediction rate                 |      2.26% |      1.75% |      1.75% |      0.50%
  mpki                               |       1.27 |       1.57 |       1.57 |       0.32
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11053023 |   45780021 |   45811853 |    2793038
    num misses                       |        515 |         74 |         71 |         86
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25388974 |  128447209 |  128421804 |    7844069
    num misses                       |      10667 |     539948 |     537944 |       2332
    miss rate                        |      0.04% |      0.42% |      0.42% |      0.03%
    mpki                             |       0.11 |       0.99 |       0.98 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      11182 |     540022 |     538015 |       2418
    num misses                       |       3060 |      14963 |      15876 |        939
    miss rate                        |     27.37% |      2.77% |      2.95% |     38.83%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11053023 |   45780021 |   45811853 |    2793038
    num cache misses                 |      19059 |     902911 |     897947 |       5264
    miss rate                        |      0.17% |      1.97% |      1.96% |      0.19%
    mpki                             |       0.19 |       1.65 |       1.64 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25388974 |  128447209 |  128421804 |    7844069
    num cache misses                 |     375011 |    4542698 |    4508646 |     140038
    miss rate                        |      1.48% |      3.54% |      3.51% |      1.79%
    mpki                             |       3.77 |       8.29 |       8.22 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     408490 |    5447321 |    5407661 |     145314
    num cache misses                 |     364256 |     406882 |     354392 |     124416
    miss rate                        |     89.17% |      7.47% |      6.55% |     85.62%
    mpki                             |       3.66 |       0.74 |       0.65 |       4.96
  Cache L3                           |            |            |            |           
    num cache accesses               |     379279 |     409378 |     356417 |     124428
    num cache misses                 |      58475 |      28284 |       2859 |      44440
    miss rate                        |     15.42% |      6.91% |      0.80% |     35.72%
    mpki                             |       0.59 |       0.05 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     135894 |          0 |          0 |          0
  average dram access latency (ns)   |   14181.04 |        inf |        inf |        inf
  average dram queueing delay        |   14127.61 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28583 |       3319 |       2407 |       6338
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
