                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   161068746 |  1279186045 |           0 |           0
  Cycles                             |  1515389200 |  1515389200 |  1515389200 |  1515389200
  IPC                                |        0.11 |        0.84 |        0.00 |        0.00
  Time (ns)                          |   378847300 |   378847300 |   378847300 |   378847300
  Idle time (ns)                     |   363659953 |    15196461 |   378847300 |   378847300
  Idle time (%)                      |       96.0% |        4.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |    19924226 |   146074369 |           0 |           0
  num incorrect                      |       36685 |    26334842 |           0 |           0
  misprediction rate                 |       0.18% |      15.27% |       0.00% |       0.00%
  mpki                               |        0.23 |       20.59 |        0.00 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    24449712 |   188413175 |           0 |           0
    num misses                       |         224 |          28 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    67894973 |   358254123 |           0 |           0
    num misses                       |       42674 |       56574 |           0 |           0
    miss rate                        |       0.06% |       0.02% |       0.00% |       0.00%
    mpki                             |        0.26 |        0.04 |        0.00 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |       42898 |       56602 |           0 |           0
    num misses                       |       14755 |       41309 |           0 |           0
    miss rate                        |      34.40% |      72.98% |       0.00% |       0.00%
    mpki                             |        0.09 |        0.03 |        0.00 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    24449712 |   188413175 |           0 |           0
    num cache misses                 |        5522 |        6846 |           0 |           0
    miss rate                        |       0.02% |       0.00% |        inf% |        inf%
    mpki                             |        0.03 |        0.01 |         inf |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    67894973 |   358254123 |           0 |           0
    num cache misses                 |      243705 |     1720960 |           0 |           0
    miss rate                        |       0.36% |       0.48% |        inf% |        inf%
    mpki                             |        1.51 |        1.35 |         inf |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |      253895 |     1727807 |           0 |           0
    num cache misses                 |      160195 |     1102846 |           0 |           0
    miss rate                        |      63.09% |      63.83% |        inf% |        inf%
    mpki                             |        0.99 |        0.86 |         inf |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |      164871 |     1102847 |           0 |           0
    num cache misses                 |       83263 |       47345 |           0 |           0
    miss rate                        |      50.50% |       4.29% |        inf% |        inf%
    mpki                             |        0.52 |        0.04 |         inf |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |      137998 |           0 |           0 |           0
  average dram access latency (ns)   |     2856.39 |         inf |         inf |         inf
  average dram queueing delay        |     2802.96 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       15265 |       30556 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
