CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.25       0.25       0.00
depend-int             0.00       0.04       0.04       0.00
depend-fp              0.00       0.15       0.15       0.00
depend-branch          0.00       0.01       0.01       0.00
issue-port2            0.00       0.02       0.02       0.00
issue-port015          0.00       0.01       0.01       0.00
branch                 0.00       0.07       0.07       0.00
mem-l1d                0.00       0.06       0.06       0.00
sync-futex           118.67       0.00       0.00       0.00
imbalance-start        0.00       0.01       0.01       0.00
imbalance-end          0.00       0.00       0.00   283588646.00
other                  1.39       0.01       0.01       0.00

total                120.06       0.62       0.62   283588646.00
