CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.79       0.72       0.72       0.69
depend-int             0.00       0.10       0.10       0.00
depend-fp              0.09       0.15       0.15       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.13       0.10       0.10       0.00
ifetch                 0.00       0.03       0.03       0.00
mem                    0.09       0.00       0.00       0.00
mem-l1d                0.00       0.07       0.07       0.00
mem-l2                 0.00       0.02       0.02       0.00
mem-l3                 0.00       0.03       0.03       0.00
sync-futex             7.24       0.27       0.27       0.00
imbalance-end          0.00       0.00       0.00      32.45
other                  0.17       0.04       0.04       0.58

total                  8.51       1.54       1.54      33.72
