                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    99424794 |  1096375189 |    25092018 |           0
  Cycles                             |  1467156400 |  1467156400 |  1467156400 |  1467156400
  IPC                                |        0.07 |        0.75 |        0.02 |        0.00
  Time (ns)                          |   366789100 |   366789100 |   366789100 |   366789100
  Idle time (ns)                     |   334572984 |    38768737 |   360503696 |   366789100
  Idle time (%)                      |       91.2% |       10.6% |       98.3% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |     5478563 |    96632976 |     1567458 |           0
  num incorrect                      |      126529 |     1724192 |        7865 |           0
  misprediction rate                 |       2.26% |       1.75% |       0.50% |       0.00%
  mpki                               |        1.27 |        1.57 |        0.31 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    11051699 |    91587798 |     2793245 |           0
    num misses                       |         641 |          75 |          83 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    25398338 |   256854166 |     7843663 |           0
    num misses                       |       10358 |     1071050 |        2325 |           0
    miss rate                        |       0.04% |       0.42% |       0.03% |       0.00%
    mpki                             |        0.10 |        0.98 |        0.09 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |       10999 |     1071125 |        2408 |           0
    num misses                       |        3000 |       25150 |         930 |           0
    miss rate                        |      27.28% |       2.35% |      38.62% |       0.00%
    mpki                             |        0.03 |        0.02 |        0.04 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    11051699 |    91587798 |     2793245 |           0
    num cache misses                 |       18806 |     1870476 |        5100 |           0
    miss rate                        |       0.17% |       2.04% |       0.18% |        inf%
    mpki                             |        0.19 |        1.71 |        0.20 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    25398338 |   256854166 |     7843663 |           0
    num cache misses                 |      375614 |     9004093 |      140034 |           0
    miss rate                        |       1.48% |       3.51% |       1.79% |        inf%
    mpki                             |        3.78 |        8.21 |        5.58 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |      408855 |    10874644 |      145143 |           0
    num cache misses                 |      365133 |      771829 |      124139 |           0
    miss rate                        |      89.31% |       7.10% |      85.53% |        inf%
    mpki                             |        3.67 |        0.70 |        4.95 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |      380185 |      771904 |      124148 |           0
    num cache misses                 |       58358 |       29843 |       44439 |           0
    miss rate                        |      15.35% |       3.87% |      35.80% |        inf%
    mpki                             |        0.59 |        0.03 |        1.77 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |      133975 |           0 |           0 |           0
  average dram access latency (ns)   |     7780.17 |         inf |         inf |         inf
  average dram queueing delay        |     7726.74 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       28296 |        4949 |        6272 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
