CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.50       1.57       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.10       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.59       0.40       0.00       0.00
mem-l1d                0.14       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.44       1.68       0.00       0.00
mem-dram               0.56       0.85       0.00       0.00
sync-futex             1.05       0.00       0.00       0.00
sync-unscheduled        0.00      18.99       0.00       0.00
imbalance-end          0.00       2.71   7444367316.00   7444367316.00
other                  0.05       0.47    8000.00    8000.00

total                  5.64      26.66   7444375316.00   7444375316.00
