CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.11       0.35       0.00       0.00
depend                 0.18       0.00       0.00       0.00
depend-int             0.00       0.08       0.00       0.00
depend-fp              0.00       0.12       0.00       0.00
depend-branch          0.00       0.01       0.00       0.00
issue-port015          0.00       0.02       0.00       0.00
branch                 0.14       0.05       0.00       0.00
ifetch                 0.00       0.02       0.00       0.00
mem-l1d                0.00       0.06       0.00       0.00
mem-l2                 0.00       0.02       0.00       0.00
sync-futex             8.31       0.15       0.00       0.00
imbalance-end          0.00       0.00      38.56   985654042.66
other                  0.18       0.02       0.72    8000.00

total                  9.91       0.90      39.28   985662042.66
