                                     | Core 0     | Core 1      | Core 2     | Core 3    
  Instructions                       |   99421477 |  1096375255 |   25092793 |          0
  Cycles                             |  985662000 |   985662000 |  985662000 |  985662000
  IPC                                |       0.10 |        1.11 |       0.03 |       0.00
  Time (ns)                          |  246415500 |   246415500 |  246415500 |  246415500
  Idle time (ns)                     |  206477721 |    43314631 |  243103274 |  246415500
  Idle time (%)                      |      83.8% |       17.6% |      98.7% |     100.0%
Branch predictor stats               |            |             |            |           
  num correct                        |    5477946 |    96625961 |    1567500 |          0
  num incorrect                      |     126444 |     1731216 |       7819 |          0
  misprediction rate                 |      2.26% |       1.76% |      0.50% |      0.00%
  mpki                               |       1.27 |        1.58 |       0.31 |       0.00
TLB Summary                          |            |             |            |           
  I-TLB                              |            |             |            |           
    num accesses                     |   11050774 |    91587798 |    2793033 |          0
    num misses                       |        525 |          77 |         84 |          0
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |           
    num accesses                     |   25398839 |   256854208 |    7844052 |          0
    num misses                       |      10296 |     1081797 |       2317 |          0
    miss rate                        |      0.04% |       0.42% |      0.03% |      0.00%
    mpki                             |       0.10 |        0.99 |       0.09 |       0.00
  L2 TLB                             |            |             |            |           
    num accesses                     |      10821 |     1081874 |       2401 |          0
    num misses                       |       2995 |       77967 |        946 |          0
    miss rate                        |     27.68% |       7.21% |     39.40% |      0.00%
    mpki                             |       0.03 |        0.07 |       0.04 |       0.00
Cache Summary                        |            |             |            |           
  Cache L1-I                         |            |             |            |           
    num cache accesses               |   11050774 |    91587798 |    2793033 |          0
    num cache misses                 |      18994 |     1824782 |       4884 |          0
    miss rate                        |      0.17% |       1.99% |      0.17% |       inf%
    mpki                             |       0.19 |        1.66 |       0.19 |        inf
  Cache L1-D                         |            |             |            |           
    num cache accesses               |   25398839 |   256854208 |    7844052 |          0
    num cache misses                 |     375752 |     9003081 |     140034 |          0
    miss rate                        |      1.48% |       3.51% |      1.79% |       inf%
    mpki                             |       3.78 |        8.21 |       5.58 |        inf
  Cache L2                           |            |             |            |           
    num cache accesses               |     409168 |    10827924 |     144919 |          0
    num cache misses                 |     365404 |      913059 |     124304 |          0
    miss rate                        |     89.30% |       8.43% |     85.77% |       inf%
    mpki                             |       3.68 |        0.83 |       4.95 |        inf
  Cache L3                           |            |             |            |           
    num cache accesses               |     380407 |      913120 |     124305 |          0
    num cache misses                 |      58262 |       29851 |      44439 |          0
    miss rate                        |     15.32% |       3.27% |     35.75% |       inf%
    mpki                             |       0.59 |        0.03 |       1.77 |        inf
DRAM summary                         |            |             |            |           
  num dram accesses                  |     134437 |           0 |          0 |          0
  average dram access latency (ns)   |    9911.15 |         inf |        inf |        inf
  average dram queueing delay        |    9857.72 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |           
  num loads from dram                |      28245 |        4963 |       6306 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0
