CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.48       0.00       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.10       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.54       0.00       0.00       0.00
mem-l1d                0.12       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.43       1.15       1.15       1.15
mem-dram               0.55       0.71       0.70       0.71
sync-futex             0.20       0.00       0.00       0.00
sync-unscheduled        0.00      55.42      55.44      55.43
imbalance-end          0.00       8.11       8.11       8.11
other                  0.02       0.97       0.98       0.97

total                  4.66      66.36      66.38      66.38
