CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.04       0.44       0.00       0.00
depend-int             0.00       0.14       0.00       0.00
depend-fp              0.00       0.16       0.00       0.00
depend-branch          0.00       0.09       0.00       0.00
issue                  0.00       0.02       0.00       0.00
branch                 0.00       0.51       0.00       0.00
mem-l1d                0.00       0.15       0.00       0.00
sync-futex            12.06       0.00       0.00       0.00
sync-unscheduled        0.00       0.10       0.00       0.00
imbalance-end          0.00       0.07   2157540858.22   2157540858.22
other                  0.30       0.01    8000.00    8000.00

total                 13.40       1.69   2157548858.22   2157548858.22
