CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.31       1.84       1.81       1.81
depend                 0.09       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.08
depend-fp              0.00       0.37       0.37       0.37
branch                 0.30       0.35       0.31       0.29
mem-l1d                0.08       0.05       0.05       0.05
sync-futex             4.94       0.00       0.00       0.00
sync-unscheduled        0.00       0.36       0.36       0.36
imbalance-end          0.00       0.09       0.17       0.18
other                  0.05       0.03       0.03       0.03

total                  5.78       3.17       3.17       3.17
