CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.36       0.84       0.84
depend-int             0.08       0.08       0.10       0.10
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.03       0.03       0.04       0.04
issue-port015          0.03       0.03       0.00       0.04
branch                 0.16       0.16       0.29       0.29
ifetch                 0.11       0.11       0.18       0.19
mem-l1d                0.10       0.10       0.13       0.13
mem-dram               0.03       0.03       0.00       0.04
sync-unscheduled        0.89       0.89       1.86       1.85
other                  0.04       0.04       0.14       0.07

total                  1.84       1.85       3.60       3.59
