CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.37       0.38       0.00       0.00
depend-int             0.06       0.06       0.00       0.00
depend-fp              0.22       0.24       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
branch                 0.14       0.13       0.00       0.00
mem-l1d                0.05       0.05       0.00       0.00
sync-futex             0.02       0.00       0.00       0.00
sync-unscheduled        0.85       0.88      98.03       0.00
imbalance-end          0.00       0.07       2.15   286048225.02
other                  0.02       0.03       1.42    8000.00

total                  1.75       1.84     101.60   286056225.02
