CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.46       0.00       1.34
depend-int             0.00       0.13       0.00       0.16
depend-fp              0.00       0.15       0.00       0.19
depend-branch          0.00       0.09       0.00       0.11
branch                 0.00       0.52       0.00       1.02
mem-l1d                0.00       0.15       0.00       0.17
sync-unscheduled       24.04       1.59      87.51       3.21
imbalance-end          0.00       0.05       0.00       0.09
other                  0.31       0.05       0.92       0.07

total                 24.70       3.19      88.43       6.35
