CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.37       0.37       0.00       0.00
depend-int             0.06       0.06       0.00       0.00
depend-fp              0.23       0.23       0.00       0.00
depend-branch          0.02       0.02       0.00       0.00
branch                 0.13       0.14       0.00       0.00
mem-l1d                0.05       0.05       0.00       0.00
sync-unscheduled        0.85       0.89       0.00       0.00
imbalance-end          0.00       0.00   280941776.38   280941776.38
other                  0.02       0.02    8000.00    8000.00

total                  1.71       1.78   280949776.38   280949776.38
