CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.36       0.00       0.00
depend-int             0.08       0.07       0.00       0.00
depend-branch          0.06       0.07       0.00       0.00
issue                  0.04       0.00       0.00       0.00
branch                 0.54       0.66       0.00       0.00
mem-l1d                0.10       0.10       0.00       0.00
mem-l3                 0.48       0.35       0.00       0.00
mem-dram               0.40       0.66       0.00       0.00
sync-futex             0.00       1.10       0.00       0.00
sync-unscheduled        1.20       1.70       0.00       0.00
imbalance-end          0.57       0.00     716.18   3545157319.11
other                  0.05       0.09       1.62    8000.00

total                  3.88       5.17     717.80   3545165319.11
