CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.54       0.55       0.55
depend-int             0.00       0.02       0.02       0.02
depend-fp              0.00       0.30       0.28       0.28
issue-port2            0.00       0.05       0.04       0.04
branch                 0.00       0.08       0.07       0.07
mem-l1d                0.00       0.03       0.04       0.04
mem-l3                 0.00       0.43       0.38       0.40
sync-futex            53.09       0.00       0.00       0.00
sync-unscheduled        0.00       0.03       0.03       0.03
dvfs-transition        0.00       0.02       0.02       0.00
other                  1.01       0.03       0.03       0.04

total                 54.11       1.53       1.47       1.48
