CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.34       0.34       0.34       0.34
depend-int             0.08       0.08       0.08       0.08
depend-branch          0.02       0.02       0.02       0.02
issue-port2            0.03       0.03       0.03       0.03
issue-port015          0.03       0.03       0.03       0.03
branch                 0.15       0.15       0.15       0.15
ifetch                 0.11       0.11       0.10       0.10
mem-l1d                0.10       0.10       0.10       0.10
mem-dram               0.03       0.03       0.04       0.03
sync-unscheduled        0.89       0.89       0.93       0.92
other                  0.03       0.03       0.03       0.03

total                  1.81       1.81       1.85       1.83
