CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.39       0.35       0.35
depend                 0.00       0.20       0.13       0.13
depend-int             0.07       0.00       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
branch                 0.65       0.18       0.69       0.67
mem-l1d                0.09       0.00       0.00       0.00
mem-l3                 0.37       1.09       0.15       0.26
mem-dram               0.74       0.67       0.25       0.24
sync-futex             1.18       0.00       0.00       0.00
sync-unscheduled        1.94       8.09       4.87       4.58
imbalance-end          0.00       1.89       3.84       3.65
other                  0.09       0.17       0.17       0.17

total                  5.57      12.68      10.44      10.06
