                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   635676778 |   279198682 |   339163488 |   351997208
  Cycles                             |  3540742000 |  3540742000 |  3540742000 |  3540742000
  IPC                                |        0.18 |        0.08 |        0.10 |        0.10
  Time (ns)                          |   885185500 |   885185500 |   885185500 |   885185500
  Idle time (ns)                     |   496827560 |   696876382 |   737703508 |   724191070
  Idle time (%)                      |       56.1% |       78.7% |       83.3% |       81.8%
Branch predictor stats               |             |             |             |            
  num correct                        |    97797575 |    15646250 |    52769819 |    54830190
  num incorrect                      |     9141790 |     1155939 |     5402840 |     5528477
  misprediction rate                 |       8.55% |       6.88% |       9.29% |       9.16%
  mpki                               |       14.38 |        4.14 |       15.93 |       15.71
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   111591858 |    27983253 |    62177161 |    64142452
    num misses                       |         230 |          52 |          64 |          63
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   234681279 |    92259260 |   126380113 |   128740935
    num misses                       |     7183457 |     6107297 |     2634024 |     2669182
    miss rate                        |       3.06% |       6.62% |       2.08% |       2.07%
    mpki                             |       11.30 |       21.87 |        7.77 |        7.58
  L2 TLB                             |             |             |             |            
    num accesses                     |     7183687 |     6107349 |     2634088 |     2669245
    num misses                       |     3697410 |     3151148 |     1067069 |     1085086
    miss rate                        |      51.47% |      51.60% |      40.51% |      40.65%
    mpki                             |        5.82 |       11.29 |        3.15 |        3.08
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   111591858 |    27983253 |    62177161 |    64142452
    num cache misses                 |      237551 |       88746 |      131552 |      133195
    miss rate                        |       0.21% |       0.32% |       0.21% |       0.21%
    mpki                             |        0.37 |        0.32 |        0.39 |        0.38
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   234681279 |    92259260 |   126380113 |   128740935
    num cache misses                 |     9419399 |     5727725 |     3024329 |     3229420
    miss rate                        |       4.01% |       6.21% |       2.39% |       2.51%
    mpki                             |       14.82 |       20.51 |        8.92 |        9.17
  Cache L2                           |             |             |             |            
    num cache accesses               |    10474783 |     5816573 |     3385851 |     3597291
    num cache misses                 |     8093815 |     5270510 |     2314872 |     2506464
    miss rate                        |      77.27% |      90.61% |      68.37% |      69.68%
    mpki                             |       12.73 |       18.88 |        6.83 |        7.12
  Cache L3                           |             |             |             |            
    num cache accesses               |     8912328 |     5270612 |     2545177 |     2741531
    num cache misses                 |     3096870 |     1518405 |      608635 |      766764
    miss rate                        |      34.75% |      28.81% |      23.91% |      27.97%
    mpki                             |        4.87 |        5.44 |        1.79 |        2.18
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9357623 |           0 |           0 |           0
  average dram access latency (ns)   |    14174.61 |         inf |         inf |         inf
  average dram queueing delay        |    14121.18 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       8.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     2641334 |     1355167 |      498141 |      507018
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
