                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1326839850 |    93101636 |    93083950 |    93078725
  Cycles                             |  3016189200 |  3016189200 |  3016189200 |  3016189200
  IPC                                |        0.44 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   754047300 |   754047300 |   754047300 |   754047300
  Idle time (ns)                     |    65736337 |   688879220 |   688937804 |   688893172
  Idle time (%)                      |        8.7% |       91.4% |       91.4% |       91.4%
Branch predictor stats               |             |             |             |            
  num correct                        |   205644155 |     5207366 |     5210352 |     5208110
  num incorrect                      |    19826857 |      392817 |      388532 |      394125
  misprediction rate                 |       8.79% |       7.01% |       6.94% |       7.04%
  mpki                               |       14.94 |        4.22 |        4.17 |        4.23
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   237911504 |     9329955 |     9327906 |     9327370
    num misses                       |         228 |          53 |          52 |          53
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   489803252 |    30764074 |    30760246 |    30757189
    num misses                       |    12666672 |     1994142 |     1983647 |     2036319
    miss rate                        |       2.59% |       6.48% |       6.45% |       6.62%
    mpki                             |        9.55 |       21.42 |       21.31 |       21.88
  L2 TLB                             |             |             |             |            
    num accesses                     |    12666900 |     1994195 |     1983699 |     2036372
    num misses                       |     5878986 |     1050451 |     1052764 |     1052093
    miss rate                        |      46.41% |      52.68% |      53.07% |      51.67%
    mpki                             |        4.43 |       11.28 |       11.31 |       11.30
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   237911504 |     9329955 |     9327906 |     9327370
    num cache misses                 |      492310 |       29064 |       29191 |       29484
    miss rate                        |       0.21% |       0.31% |       0.31% |       0.32%
    mpki                             |        0.37 |        0.31 |        0.31 |        0.32
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   489803252 |    30764074 |    30760246 |    30757189
    num cache misses                 |    15672003 |     1911779 |     1911389 |     1911426
    miss rate                        |       3.20% |       6.21% |       6.21% |       6.21%
    mpki                             |       11.81 |       20.53 |       20.53 |       20.54
  Cache L2                           |             |             |             |            
    num cache accesses               |    17441866 |     1941158 |     1940884 |     1941219
    num cache misses                 |    12890774 |     1754436 |     1754212 |     1755027
    miss rate                        |      73.91% |      90.38% |      90.38% |      90.41%
    mpki                             |        9.72 |       18.84 |       18.85 |       18.86
  Cache L3                           |             |             |             |            
    num cache accesses               |    14169585 |     1754751 |     1754516 |     1755336
    num cache misses                 |     4471189 |      508375 |      506986 |      507674
    miss rate                        |      31.55% |      28.97% |      28.90% |      28.92%
    mpki                             |        3.37 |        5.46 |        5.45 |        5.45
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9364017 |           0 |           0 |           0
  average dram access latency (ns)   |    14160.34 |         inf |         inf |         inf
  average dram queueing delay        |    14106.91 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      10.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3646907 |      453564 |      452227 |      452987
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
