CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.52       0.30       0.39       0.37
depend                 0.00       0.00       0.28       0.00
depend-int             0.00       0.00       0.00       0.04
depend-branch          0.00       0.00       0.00       0.04
issue-port2            0.00       0.00       0.00       0.06
branch                 0.00       0.00       0.00       0.31
mem-l1d                0.81       0.00       0.00       0.19
mem-dram               0.04       0.00       0.29       0.03
sync-futex             1.28       0.19       0.00       0.00
sync-unscheduled        0.00       7.80      11.98       1.13
imbalance-end          0.00       6.59      10.13       0.00
other                  0.00       0.24       0.16       0.03

total                  2.65      15.12      23.24       2.20
