CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.38       0.38       0.38
depend-int             0.00       0.02       0.02       0.02
depend-fp              0.00       0.27       0.26       0.27
depend-branch          0.00       0.00       0.01       0.00
issue-port2            0.00       0.05       0.05       0.05
branch                 0.00       0.06       0.06       0.06
mem-l1d                0.00       0.02       0.03       0.03
mem-l3                 0.00       0.32       0.32       0.32
sync-futex            40.58       0.00       0.00       0.00
sync-unscheduled        0.00       0.02       0.02       0.02
other                  0.75       0.03       0.02       0.03

total                 41.33       1.17       1.15       1.16
