                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49845691 |  272235022 |          0 |          0
  Cycles                             |  295346400 |  295346400 |  295346400 |  295346400
  IPC                                |       0.17 |       0.92 |       0.00 |       0.00
  Time (ns)                          |   73836600 |   73836600 |   73836600 |   73836600
  Idle time (ns)                     |   45422766 |   28419102 |   73836600 |   73836600
  Idle time (%)                      |      61.5% |      38.5% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8278274 |   15575282 |          0 |          0
  num incorrect                      |     510401 |     402072 |          0 |          0
  misprediction rate                 |      5.81% |      2.52% |      0.00% |      0.00%
  mpki                               |      10.24 |       1.48 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573025 |   30428887 |          0 |          0
    num misses                       |        122 |         25 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17194580 |   80061976 |          0 |          0
    num misses                       |        379 |        106 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        501 |        131 |          0 |          0
    num misses                       |        298 |        111 |          0 |          0
    miss rate                        |     59.48% |     84.73% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573025 |   30428887 |          0 |          0
    num cache misses                 |       2406 |        154 |          0 |          0
    miss rate                        |      0.03% |      0.00% |       inf% |       inf%
    mpki                             |       0.05 |       0.00 |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17194580 |   80061976 |          0 |          0
    num cache misses                 |      10992 |     246303 |          0 |          0
    miss rate                        |      0.06% |      0.31% |       inf% |       inf%
    mpki                             |       0.22 |       0.90 |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      13491 |     246457 |          0 |          0
    num cache misses                 |      10198 |       2404 |          0 |          0
    miss rate                        |     75.59% |      0.98% |       inf% |       inf%
    mpki                             |       0.20 |       0.01 |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10295 |       2404 |          0 |          0
    num cache misses                 |       8694 |        627 |          0 |          0
    miss rate                        |     84.45% |     26.08% |       inf% |       inf%
    mpki                             |       0.17 |       0.00 |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9321 |          0 |          0 |          0
  average dram access latency (ns)   |      68.24 |        inf |        inf |        inf
  average dram queueing delay        |      14.81 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2513 |        510 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
