CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       1.57       0.00       0.00
depend-int             0.05       0.14       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue                  0.04       0.00       0.00       0.00
branch                 0.50       0.40       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       1.68       0.00       0.00
mem-dram               0.44       0.85       0.00       0.00
sync-futex             1.05       0.00       0.00       0.00
sync-unscheduled        0.00       6.29       0.00       0.00
imbalance-end          0.00       1.46   3549541955.00   3549541955.00
other                  0.03       0.33    8000.00    8000.00

total                  2.68      12.71   3549549955.00   3549549955.00
