CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend-int             0.05       0.05       0.00       0.00
depend-branch          0.04       0.04       0.00       0.00
issue                  0.00       0.03       0.00       0.00
branch                 0.44       0.44       0.00       0.00
mem-l1d                0.06       0.06       0.00       0.00
mem-l3                 0.30       0.35       0.00       0.00
mem-dram               0.30       0.61       0.00       0.00
sync-unscheduled        1.49       1.40       0.00       0.00
imbalance-end          0.53       0.00   2730698812.00   2730698812.00
other                  0.08       0.03    8000.00    8000.00

total                  3.55       3.26   2730706812.00   2730706812.00
