                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   842407793 |   763628503 |           0 |           0
  Cycles                             |  2721139600 |  2721139600 |  2721139600 |  2721139600
  IPC                                |        0.31 |        0.28 |        0.00 |        0.00
  Time (ns)                          |   680284900 |   680284900 |   680284900 |   680284900
  Idle time (ns)                     |   289064898 |   391265158 |   680284900 |   680284900
  Idle time (%)                      |       42.5% |       57.5% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |   116036340 |   105091298 |           0 |           0
  num incorrect                      |    10757859 |    10387363 |           0 |           0
  misprediction rate                 |       8.48% |       9.00% |       0.00% |       0.00%
  mpki                               |       12.77 |       13.60 |        0.00 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   137841519 |   128053358 |           0 |           0
    num misses                       |         668 |         528 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   307029922 |   275031647 |           0 |           0
    num misses                       |    10623387 |     7971305 |           0 |           0
    miss rate                        |       3.46% |       2.90% |       0.00% |       0.00%
    mpki                             |       12.61 |       10.44 |        0.00 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |    10624055 |     7971833 |           0 |           0
    num misses                       |     5397447 |     3577253 |           0 |           0
    miss rate                        |      50.80% |      44.87% |       0.00% |       0.00%
    mpki                             |        6.41 |        4.68 |        0.00 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   137841519 |   128053358 |           0 |           0
    num cache misses                 |      718147 |      701501 |           0 |           0
    miss rate                        |       0.52% |       0.55% |        inf% |        inf%
    mpki                             |        0.85 |        0.92 |         inf |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   307029922 |   275031647 |           0 |           0
    num cache misses                 |    12776571 |     8586463 |           0 |           0
    miss rate                        |       4.16% |       3.12% |        inf% |        inf%
    mpki                             |       15.17 |       11.24 |         inf |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |    14349695 |     9719468 |           0 |           0
    num cache misses                 |    11116869 |     7059105 |           0 |           0
    miss rate                        |      77.47% |      72.63% |        inf% |        inf%
    mpki                             |       13.20 |        9.24 |         inf |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |    11972481 |     7491341 |           0 |           0
    num cache misses                 |     3951454 |     2038990 |           0 |           0
    miss rate                        |      33.00% |      27.22% |        inf% |        inf%
    mpki                             |        4.69 |        2.67 |         inf |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9356422 |           0 |           0 |           0
  average dram access latency (ns)   |    16135.32 |         inf |         inf |         inf
  average dram queueing delay        |    16081.89 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      11.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3368738 |     1632528 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
