CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.27       0.27       0.00       0.00
depend-int             0.11       0.11       0.00       0.00
depend-fp              0.13       0.13       0.00       0.00
depend-branch          0.07       0.07       0.00       0.00
issue                  0.03       0.03       0.00       0.00
branch                 0.34       0.34       0.00       0.00
mem-l1d                0.13       0.12       0.00       0.00
sync-unscheduled        1.10       1.06     200.21       0.00
imbalance-end          0.00       0.06       4.56     120.74
other                  0.03       0.02       1.05       1.57

total                  2.20       2.21     205.82     122.31
