CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.47       0.63       0.67       0.67
depend                 0.26       0.00       0.00       0.00
depend-int             0.00       0.06       0.00       0.06
depend-fp              0.00       0.21       0.00       0.21
issue                  0.00       0.04       0.00       0.04
branch                 0.00       0.14       0.00       0.14
mem-l1d                0.00       0.08       0.00       0.08
sync-futex            15.97       0.00       0.00       0.00
sync-unscheduled        1.64       1.31       2.73       1.62
imbalance-end          0.00       0.00      27.17       0.00
other                  0.31       0.04       0.57       0.03

total                 18.65       2.51      31.14       2.86
