CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.46       0.45       0.00       0.00
depend-int             0.09       0.08       0.00       0.00
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.04       0.04       0.00       0.00
issue-port015          0.03       0.03       0.00       0.00
branch                 0.19       0.19       0.00       0.00
ifetch                 0.13       0.13       0.00       0.00
mem-l1d                0.12       0.11       0.00       0.00
mem-dram               0.04       0.04       0.00       0.00
dvfs-transition        0.00       0.02       0.00       0.00
imbalance-end          0.00       0.00   812175460.03   812183460.03
other                  0.04       0.02   48000.00   40000.00

total                  1.14       1.14   812223460.03   812223460.03
