                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49847226 |   90707773 |   90731574 |   90735381
  Cycles                             |  158438400 |  158438400 |  158438400 |  158438400
  IPC                                |       0.31 |       0.57 |       0.57 |       0.57
  Time (ns)                          |   39609600 |   39609600 |   39609600 |   39609600
  Idle time (ns)                     |   26198093 |   13914084 |   14339219 |   14297863
  Idle time (%)                      |      66.1% |      35.1% |      36.2% |      36.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    8266946 |    5175360 |    5194055 |    5187310
  num incorrect                      |     521920 |     149300 |     131205 |     137688
  misprediction rate                 |      5.94% |      2.80% |      2.46% |      2.59%
  mpki                               |      10.47 |       1.65 |       1.45 |       1.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573184 |   10137463 |   10140663 |   10144742
    num misses                       |        126 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17196651 |   26678848 |   26683048 |   26684109
    num misses                       |        389 |         72 |         72 |         88
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        515 |         97 |         97 |        113
    num misses                       |        303 |         93 |         92 |        101
    miss rate                        |     58.83% |     95.88% |     94.85% |     89.38%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573184 |   10137463 |   10140663 |   10144742
    num cache misses                 |       2397 |        153 |        153 |        152
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17196651 |   26678848 |   26683048 |   26684109
    num cache misses                 |      11046 |      81898 |      83296 |      81199
    miss rate                        |      0.06% |      0.31% |      0.31% |      0.30%
    mpki                             |       0.22 |       0.90 |       0.92 |       0.89
  Cache L2                           |            |            |            |           
    num cache accesses               |      13535 |      82055 |      83450 |      81353
    num cache misses                 |      10285 |       1291 |       1388 |       1303
    miss rate                        |     75.99% |      1.57% |      1.66% |      1.60%
    mpki                             |       0.21 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      10386 |       1296 |       1389 |       1305
    num cache misses                 |       8716 |        249 |        223 |        218
    miss rate                        |     83.92% |     19.21% |     16.05% |     16.70%
    mpki                             |       0.17 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9403 |          0 |          0 |          0
  average dram access latency (ns)   |     276.18 |        inf |        inf |        inf
  average dram queueing delay        |     222.75 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2522 |        186 |        181 |        174
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
