CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.47       0.52       0.52       0.50
depend-int             0.00       0.09       0.09       0.00
depend-fp              0.08       0.14       0.14       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.00       0.06       0.06       0.00
ifetch                 0.00       0.03       0.03       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.07       0.07       0.00
mem-l2                 0.00       0.02       0.02       0.00
mem-l3                 0.00       0.02       0.02       0.00
sync-futex             5.76       0.18       0.18       0.00
dvfs-transition        0.00       0.01       0.01       0.00
imbalance-end          0.00       0.00       0.00      25.11
other                  0.21       0.03       0.03       0.51

total                  6.59       1.20       1.20      26.12
