CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.35       0.00       0.00       0.00
depend-int             0.07       0.00       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
issue-port2            0.03       0.00       0.00       0.00
branch                 0.65       0.00       0.00       0.00
mem-l1d                0.09       0.00       0.00       0.00
mem-l2                 0.02       0.00       0.00       0.00
mem-l3                 0.23       0.95       0.95       0.96
mem-dram               0.45       0.63       0.63       0.64
sync-futex             0.17       0.00       0.00       0.00
sync-unscheduled        0.00      23.94      23.93      23.94
imbalance-end          0.00       4.38       4.38       4.38
other                  0.03       0.86       0.86       0.84

total                  2.16      30.76      30.75      30.76
