CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.75       0.46       0.51       0.47
depend                 0.00       0.00       0.30       0.00
depend-int             0.00       0.00       0.00       0.04
depend-branch          0.00       0.00       0.00       0.04
issue-port2            0.00       0.00       0.00       0.07
branch                 0.00       0.00       0.00       0.36
mem-l1d                0.84       0.00       0.00       0.20
mem-dram               0.04       0.00       0.29       0.03
sync-futex             1.53       0.00       0.00       0.00
sync-unscheduled        0.00       9.28      14.27       1.35
imbalance-end          0.00       7.92      12.18       0.00
other                  0.00       0.38       0.18       0.05

total                  3.16      18.04      27.72       2.62
