                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2362907 |  285306319 |  285312519 |  342337920
  Cycles                             |  367962000 |  367962000 |  367962000 |  367962000
  IPC                                |       0.01 |       0.78 |       0.78 |       0.93
  Time (ns)                          |   91990500 |   91990500 |   91990500 |   91990500
  Idle time (ns)                     |   91167294 |   16191632 |   16142904 |     890950
  Idle time (%)                      |      99.1% |      17.6% |      17.5% |       1.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     326933 |   27206088 |   27208640 |   32643645
  num incorrect                      |      15569 |     834498 |     832821 |     998957
  misprediction rate                 |      4.55% |      2.98% |      2.97% |      2.97%
  mpki                               |       6.59 |       2.92 |       2.92 |       2.92
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     200981 |   37734473 |   37735244 |   45276399
    num misses                       |        184 |         42 |         42 |         42
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     799757 |  100662053 |  100664577 |  120786098
    num misses                       |       1338 |       4791 |        143 |        116
    miss rate                        |      0.17% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.57 |       0.02 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       1522 |       4833 |        185 |        158
    num misses                       |        459 |        136 |        143 |        143
    miss rate                        |     30.16% |      2.81% |     77.30% |     90.51%
    mpki                             |       0.19 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     200981 |   37734473 |   37735244 |   45276399
    num cache misses                 |       2417 |        522 |        551 |        570
    miss rate                        |      1.20% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.02 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     799757 |  100662053 |  100664577 |  120786098
    num cache misses                 |      17197 |    1117613 |    1119220 |    1339669
    miss rate                        |      2.15% |      1.11% |      1.11% |      1.11%
    mpki                             |       7.28 |       3.92 |       3.92 |       3.91
  Cache L2                           |            |            |            |           
    num cache accesses               |      20055 |    1118427 |    1120071 |    1340584
    num cache misses                 |      13234 |       2938 |       2990 |       3321
    miss rate                        |     65.99% |      0.26% |      0.27% |      0.25%
    mpki                             |       5.60 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      13681 |       3244 |       3303 |       3682
    num cache misses                 |      11664 |       1991 |       2208 |       2640
    miss rate                        |     85.26% |     61.37% |     66.85% |     71.70%
    mpki                             |       4.94 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18356 |          0 |          0 |          0
  average dram access latency (ns)   |     202.38 |        inf |        inf |        inf
  average dram queueing delay        |     148.95 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8102 |        390 |        528 |        662
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
