CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.47       0.46       0.43       0.42
depend-int             0.00       0.08       0.08       0.08
depend-branch          0.00       0.02       0.02       0.00
issue                  0.00       0.00       0.00       0.08
issue-port2            0.00       0.04       0.05       0.00
issue-port015          0.00       0.03       0.03       0.00
branch                 0.00       0.21       0.15       0.12
ifetch                 0.12       0.11       0.13       0.15
mem-l1d                0.00       0.12       0.10       0.09
mem-l3                 0.00       0.02       0.02       0.00
mem-dram               0.14       0.02       0.00       0.00
sync-futex             9.97       0.00       0.66       1.00
sync-unscheduled        0.00       0.04       0.07       0.16
dvfs-transition        0.00       0.02       0.03       0.00
imbalance-end          0.00       0.12       0.00       2.14
other                  0.34       0.02       0.04       0.10

total                 11.04       1.31       1.81       4.34
