CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.00
depend-int             0.10       0.11       0.10       0.00
depend-fp              0.12       0.14       0.12       0.00
depend-branch          0.07       0.08       0.07       0.00
branch                 0.33       0.38       0.34       0.00
mem-l1d                0.12       0.13       0.12       0.00
sync-futex             0.00       0.00       0.00      34.36
sync-unscheduled        2.06       2.26       2.11       1.03
imbalance-start        0.00       0.08       0.00       0.00
imbalance-end          0.00       0.06       0.00       0.00
other                  0.06       0.05       0.06       0.38

total                  3.12       3.54       3.18      35.78
