                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49847373 |   90707774 |   90730433 |   90735382
  Cycles                             |   93537600 |   93537600 |   93537600 |   93537600
  IPC                                |       0.53 |       0.97 |       0.97 |       0.97
  Time (ns)                          |   23384400 |   23384400 |   23384400 |   23384400
  Idle time (ns)                     |   15369456 |    8017763 |    8318003 |    8470089
  Idle time (%)                      |      65.7% |      34.3% |      35.6% |      36.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    8260865 |    5180311 |    5193151 |    5194379
  num incorrect                      |     528045 |     144349 |     131953 |     130619
  misprediction rate                 |      6.01% |      2.71% |      2.48% |      2.45%
  mpki                               |      10.59 |       1.59 |       1.45 |       1.44
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573187 |   10137463 |   10140518 |   10144742
    num misses                       |        124 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17196691 |   26678848 |   26682581 |   26684109
    num misses                       |        452 |         75 |         69 |         95
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        576 |        100 |         94 |        120
    num misses                       |        303 |         92 |         90 |        100
    miss rate                        |     52.60% |     92.00% |     95.74% |     83.33%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573187 |   10137463 |   10140518 |   10144742
    num cache misses                 |       2414 |        153 |        151 |        152
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17196691 |   26678848 |   26682581 |   26684109
    num cache misses                 |      11053 |      81896 |      83280 |      81197
    miss rate                        |      0.06% |      0.31% |      0.31% |      0.30%
    mpki                             |       0.22 |       0.90 |       0.92 |       0.89
  Cache L2                           |            |            |            |           
    num cache accesses               |      13559 |      82053 |      83432 |      81351
    num cache misses                 |      10282 |       1288 |       1374 |       1304
    miss rate                        |     75.83% |      1.57% |      1.65% |      1.60%
    mpki                             |       0.21 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      10383 |       1293 |       1375 |       1306
    num cache misses                 |       8723 |        229 |        242 |        218
    miss rate                        |     84.01% |     17.71% |     17.60% |     16.69%
    mpki                             |       0.17 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9410 |          0 |          0 |          0
  average dram access latency (ns)   |     521.63 |        inf |        inf |        inf
  average dram queueing delay        |     468.21 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2529 |        182 |        186 |        174
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
